id,πινακίδα,μάρκα,τύπος,μοντέλο,έτος,χρώμα,κατάσταση
1,ΙΚΥ1234,Toyota,Sedan,Corolla,2019,Ασημί,Available
2,ΝΒΡ5678,Honda,Hatchback,Civic,2020,Μπλε,Available
3,ΡΤΛ9012,Ford,SUV,Focus,2021,Μαύρο,Available
4,ΧΖΑ3456,Volkswagen,Sedan,Passat,2018,Λευκό,Available
5,ΕΜΚ7890,Nissan,Crossover,Qashqai,2022,Κόκκινο,Available
6,ΑΘΕ4567,BMW,SUV,X3,2020,Γκρι,Available
7,ΚΟΠ1122,Peugeot,Hatchback,308,2019,Μπλε,Available
8,ΜΝΔ3344,Mercedes,Sedan,C-Class,2021,Μαύρο,Available
9,ΠΛΩ5566,Hyundai,SUV,Tucson,2022,Λευκό,Available
10,ΖΗΞ7788,Kia,Crossover,Sportage,2023,Ασημί,Available
11,ΘΡΕ8899,Renault,Hatchback,Megane,2018,Κόκκινο,Available
12,ΣΔΦ2233,Skoda,SUV,Kodiaq,2021,Γκρι,Available
13,ΑΒΓ3344,Fiat,Compact,Punto,2017,Μπλε,Available
14,ΔΕΖ4455,Audi,Sedan,A4,2022,Μαύρο,Available
15,ΗΘΙ5566,Opel,Hatchback,Astra,2020,Ασημί,Available
16,ΚΛΜ6677,Seat,SUV,Ateca,2021,Πράσινο,Available
17,ΝΞΟ7788,Volvo,Sedan,S60,2019,Λευκό,Available
18,ΠΡΣ8899,Mazda,Crossover,CX-5,2022,Κόκκινο,Available
19,ΤΥΦ9900,Subaru,SUV,Forester,2023,Γκρι,Available
20,ΧΨΩ1122,Mini,Hatchback,Cooper,2018,Κίτρινο,Available
21,ΑΑΑ1234,Toyota,Hatchback,Yaris,2020,Λευκό,Available
22,ΒΒΒ2345,Ford,Sedan,Mondeo,2019,Μπλε,Available
23,ΓΓΓ3456,Peugeot,SUV,3008,2022,Μαύρο,Available
24,ΔΔΔ4567,Volkswagen,Hatchback,Golf,2021,Κόκκινο,Available
25,ΕΕΕ5678,Hyundai,Sedan,Elantra,2020,Γκρι,Available
26,ΖΖΖ6789,BMW,Coupe,Series 2,2023,Ασημί,Available
27,ΗΗΗ7890,Audi,SUV,Q5,2021,Λευκό,Available
28,ΘΘΘ8901,Kia,Hatchback,Rio,2018,Κόκκινο,Available
29,ΙΙΙ9012,Mercedes,SUV,GLA,2022,Μπλε,Available
30,ΚΚΚ0123,Nissan,Sedan,Altima,2019,Γκρι,Available
31,ΛΛΛ1234,Renault,SUV,Kadjar,2021,Μαύρο,Available
32,ΜΜΜ2345,Skoda,Hatchback,Fabia,2018,Λευκό,Available
33,ΝΝΝ3456,Opel,Sedan,Insignia,2020,Ασημί,Available
34,ΞΞΞ4567,Honda,Crossover,HR-V,2022,Πράσινο,Available
35,ΟΟΟ5678,Ford,Hatchback,Fiesta,2017,Μπλε,Available
36,ΠΠΠ6789,Volkswagen,SUV,T-Roc,2021,Κόκκινο,Available
37,ΡΡΡ7890,Seat,Sedan,Leon,2020,Μαύρο,Available
38,ΣΣΣ8901,Hyundai,Crossover,Kona,2023,Λευκό,Available
39,ΤΤΤ9012,Peugeot,SUV,5008,2022,Ασημί,Available
40,ΥΥΥ0123,Volvo,Crossover,XC40,2021,Μπλε,Available
41,ΦΦΦ1234,Toyota,SUV,RAV4,2022,Κόκκινο,Available
42,ΧΧΧ2345,Mercedes,Sedan,E-Class,2021,Μαύρο,Available
43,ΨΨΨ3456,Kia,Hatchback,Ceed,2019,Πράσινο,Available
44,ΩΩΩ4567,Renault,Sedan,Talisman,2020,Λευκό,Available
45,ΑΒΓ5678,Skoda,SUV,Karoq,2023,Γκρι,Available
46,ΒΓΔ6789,Opel,Hatchback,Corsa,2018,Μπλε,Available
47,ΓΔΕ7890,BMW,Sedan,Series 3,2022,Ασημί,Available
48,ΔΕΖ8901,Ford,SUV,Kuga,2021,Μαύρο,Available
49,ΕΖΗ9012,Peugeot,Crossover,2008,2023,Κόκκινο,Available
50,ΖΗΘ0123,Audi,Hatchback,A3,2020,Λευκό,Available
